,id,BoroCT2010,n_report,DBN,school_distance,n_school,subway_distance,n_tobacco,Enrollment,Student Achievement Rating,Percent White,Percent Black,Percent Hispanic,Percent Asian,% Female,% Poverty,MHI,Total Population,type,latitude,longitude,have_sold
1577,19407,3115200,0.0,27Q302,3932.98450148,0.0,985.497675767,13,417,Meeting Target,0.024,0.444,0.47,0.053,0.393285363913,0.705035984516,18293,3094,GROCERY SUPERMARKET,40.672303357,-73.892896222,0
1578,18372,3115200,0.0,84K730,1282.69398913,0.0,2741.22529442,13,208,Approaching Target,0.029,0.567,0.337,0.005,0.516923069954,0.73846155405,18293,3094,GROCERY SUPERMARKET,40.672393104,-73.892326276,0
1579,19354,3115200,0.0,14K558,1392.64038724,0.0,1252.12326457,13,573,Exceeding Target,0.044,0.302,0.607,0.033,0.247818499804,0.818499147892,18293,3094,CONVENIENCE STORE,40.672532968,-73.891347227,0
1580,19239,3115200,0.0,22K405,2958.32679469,0.0,798.064669989,13,3986,Meeting Target,0.223,0.293,0.123,0.35,0.549172103405,0.501756131649,18293,3094,GROCERY SUPERMARKET,40.672593575,-73.890906656,0
1581,16685,3115200,0.0,16K498,593.161506732,0.0,1087.98786789,13,650,Approaching Target,0.012,0.708,0.238,0.025,0.386153846979,0.781538486481,18293,3094,GROCERY SUPERMARKET,40.672797544,-73.889924111,0
1582,17965,3115200,0.0,15K462,3108.76254864,0.0,985.064493748,13,357,Meeting Target,0.031,0.669,0.232,0.025,0.65546220541,0.728291332722,18293,3094,CONVENIENCE STORE,40.674168211,-73.88947538,0
1583,12283,3115200,0.0,20K445,2160.36555521,0.0,321.908974782,13,3553,Meeting Target,0.269,0.038,0.288,0.395,0.424430072308,0.729805827141,18293,3094,GROCERY SUPERMARKET,40.675343069,-73.889936932,0
1584,14953,3115200,0.0,21K690,1092.63982425,0.0,90.4195540348,13,663,Approaching Target,0.507,0.041,0.275,0.172,0.501635789871,0.750272631645,18293,3094,GROCERY SUPERMARKET,40.672633203,-73.890656066,0
1585,14068,3115200,0.0,84X395,874.016998644,0.0,1840.2815949,13,418,Meeting Target,0.002,0.356,0.634,0.002,0.325358837843,0.904306232929,18293,3094,GROCERY SUPERMARKET,40.672797544,-73.889924111,0
1586,15699,3115200,0.0,24Q550,2247.96498484,0.0,2917.71201693,13,823,Exceeding Target,0.038,0.091,0.77,0.097,0.563791036606,1.0,18293,3094,GROCERY SUPERMARKET,40.672768405,-73.890084954,0
1587,15104,3115200,0.0,05M692,1068.82196081,0.0,1035.15011731,13,475,Exceeding Target,0.269,0.099,0.225,0.352,0.307368427515,0.431578934193,18293,3094,CONVENIENCE STORE,40.672303357,-73.892896222,0
1588,15817,3115200,0.0,31R440,3455.62975198,0.0,25204.2890963,13,2876,Approaching Target,0.51,0.121,0.289,0.068,0.484005570412,0.567454814911,18293,3094,GROCERY SUPERMARKET,40.674166913,-73.889505294,0
1589,15290,3115200,0.0,01M509,2305.28132033,0.0,918.953697729,13,272,Approaching Target,0.018,0.423,0.522,0.033,0.610294103622,0.900735318661,18293,3094,TOBACCO RETAIL,40.672532968,-73.891347227,0
1590,16148,3115600,2.0,25Q240,1679.44063418,4.0,819.812699736,9,410,,0.122,0.137,0.524,0.176,0.514634132385,0.734146356583,17624,4315,GROCERY SUPERMARKET,40.667747286,-73.895594432,1
1591,1280,3115600,0.0,84K357,408.244501815,4.0,1562.95630625,9,136,Exceeding Target,0.0,0.875,0.066,0.0,0.500635325909,0.827191889286,17624,4315,GROCERY SUPERMARKET,40.668099277,-73.894876464,0
1592,17010,3115600,0.0,27Q475,1242.87431997,4.0,764.910971785,9,1950,Approaching Target,0.049,0.121,0.489,0.325,0.417948722839,0.783589720726,17624,4315,GROCERY SUPERMARKET,40.669148258,-73.8969651,0
1593,1196,3115600,0.0,19K683,1174.57937407,0.0,2182.41589082,9,305,Meeting Target,0.016,0.57,0.282,0.125,0.606557369232,0.859016418457,17624,4315,GROCERY SUPERMARKET,40.670538739,-73.895486038,0
1594,16427,3115600,0.0,20K485,4146.71245324,0.0,1289.46759017,9,1277,Meeting Target,0.171,0.078,0.551,0.176,0.436178535223,0.742364943027,17624,4315,CONVENIENCE STORE,40.670538739,-73.895486038,0
1595,10044,3115600,0.0,30Q575,2242.81611202,4.0,606.014016216,9,890,Meeting Target,0.291,0.078,0.334,0.288,0.569662928581,0.711235940456,17624,4315,GROCERY SUPERMARKET,40.66945829,-73.894844994,0
1596,14200,3115600,0.0,84X185,657.45417487,4.0,872.284599688,9,222,Meeting Target,0.0,0.369,0.622,0.005,0.514372169971,0.763993918896,17624,4315,GROCERY SUPERMARKET,40.6692077,-73.896554832,0
1597,14847,3115600,0.0,04M680,403.675826397,4.0,245.36506784,9,335,Approaching Target,0.018,0.316,0.636,0.018,0.543283581734,0.892537295818,17624,4315,CONVENIENCE STORE,40.66790813,-73.894484844,0
1598,15881,3115600,5.0,24Q293,2883.4347837,4.0,922.505069339,9,467,Exceeding Target,0.062,0.062,0.7,0.092,0.53319054842,0.695931494236,17624,4315,GROCERY SUPERMARKET,40.66908765,-73.897384692,1
1599,14205,3115800,0.0,04M409,1405.64996487,4.0,813.602406116,4,232,Approaching Target,0.026,0.409,0.504,0.047,0.439655184746,1.0,43603,2983,CONVENIENCE STORE,40.666647552,-73.89223045,0
1600,17035,3115800,0.0,05M157,1492.18983749,4.0,361.622415187,4,206,,0.019,0.471,0.466,0.015,0.490291267633,0.776699006557,43603,2983,GROCERY SUPERMARKET,40.666647552,-73.89223045,0
1601,19307,3115800,0.0,30Q445,2831.35930708,4.0,1500.78748558,4,2437,Meeting Target,0.153,0.062,0.505,0.264,0.455888390541,0.742306113243,43603,2983,GROCERY SUPERMARKET,40.66670763,-73.891884538,0
1602,16276,3115800,0.0,06M467,897.237009765,0.0,75.9329081619,4,615,Meeting Target,0.02,0.161,0.815,0.003,0.465040653944,0.738211393356,43603,2983,GROCERY SUPERMARKET,40.669943152,-73.891196874,0
1603,11843,3116000,6.0,29Q259,782.371429994,0.0,8924.3806369,1,367,Meeting Target,0.014,0.883,0.068,0.027,0.474956810474,0.732297062874,28973,2543,DELICATESSEN,40.670123809,-73.889926442,1
1604,13672,3116200,0.0,84X429,2592.1358835,0.0,350.280284232,1,128,,0.016,0.117,0.578,0.008,0.6015625,0.546875,42381,2157,CONVENIENCE STORE,40.670817302,-73.885674575,0
1605,17128,3116400,0.0,29Q326,1783.97495943,0.0,4818.3630138,7,405,Meeting Target,0.01,0.77,0.099,0.062,0.530864179134,0.693827152252,37865,2921,DELICATESSEN,40.671187942,-73.883094083,0
1606,12607,3116400,0.0,02M534,1897.3950157,0.0,125.73994077,7,456,Meeting Target,0.18,0.232,0.493,0.072,0.567982435226,0.581140339375,37865,2921,GROCERY SUPERMARKET,40.671203094,-73.882546282,0
1607,14169,3116400,0.0,13K265,1312.60003815,0.0,2333.44508563,7,311,Approaching Target,0.003,0.723,0.235,0.013,0.601873517036,0.765807986259,37865,2921,GROCERY SUPERMARKET,40.668391826,-73.881215243,0
1608,15008,3116400,0.0,23K644,2350.02156673,0.0,50.4903357021,7,339,Meeting Target,0.009,0.879,0.097,0.003,0.0,0.729272425175,37865,2921,GROCERY SUPERMARKET,40.670137796,-73.879494915,0
1609,11703,3116400,0.0,19K615,2154.54421453,0.0,723.49903647,7,1023,Approaching Target,0.017,0.626,0.283,0.055,0.145650044084,0.707722365856,37865,2921,GROCERY SUPERMARKET,40.671453683,-73.880856258,0
1610,10205,3116400,0.0,21K690,2116.87753509,0.0,2505.14112528,7,663,Approaching Target,0.507,0.041,0.275,0.172,0.501635789871,0.750272631645,37865,2921,GROCERY SUPERMARKET,40.67266961,-73.881488578,0
1611,14375,3116400,0.0,31R047,3458.99827159,0.0,40986.08623,7,495,Exceeding Target,0.533,0.065,0.2,0.111,0.581818163395,0.395959585905,37865,2921,CONVENIENCE STORE,40.672833675,-73.880325941,0
1612,18673,3117000,0.0,20K445,1338.52943076,0.0,941.356741124,9,3553,Meeting Target,0.269,0.038,0.288,0.395,0.424430072308,0.729805827141,37679,1880,GROCERY SUPERMARKET,40.676993465,-73.888014967,0
1613,18248,3117000,0.0,06M552,1149.91987378,0.0,407.885360642,9,503,Meeting Target,0.0,0.0,1.0,0.0,0.534791231155,0.910536766052,37679,1880,CONVENIENCE STORE,40.676993465,-73.888014967,0
1614,17554,3117000,0.0,09X324,2132.20594149,0.0,1326.49929486,9,286,Meeting Target,0.014,0.294,0.654,0.035,0.5,0.78968256712,37679,1880,DELICATESSEN,40.679403789,-73.886312122,0
1615,19195,3117000,0.0,84K357,1161.05795772,0.0,1577.49369749,9,136,Exceeding Target,0.0,0.875,0.066,0.0,0.500635325909,0.827191889286,37679,1880,GROCERY SUPERMARKET,40.679543653,-73.885852901,0
1616,18405,3117000,6.0,16K393,2141.39657042,0.0,647.237820611,9,77,Approaching Target,0.0,0.844,0.156,0.0,0.519480526447,0.805194795132,37679,1880,GROCERY SUPERMARKET,40.679545492,-73.885842201,1
1617,12519,3117000,0.0,18K633,2648.17645965,0.0,1140.7918561,9,413,Meeting Target,0.012,0.806,0.131,0.036,0.661016941071,0.89104115963,37679,1880,GROCERY SUPERMARKET,40.679883989,-73.884821404,0
1618,13510,3117000,3.0,20K505,3246.14069501,0.0,1684.99704642,9,3177,Approaching Target,0.189,0.117,0.303,0.385,0.435001581907,0.760465860367,37679,1880,GROCERY SUPERMARKET,40.679034315,-73.887482318,1
1619,13293,3117000,0.0,04M372,907.022966932,0.0,20.133703468,9,323,Meeting Target,0.015,0.127,0.842,0.012,0.486062705517,0.909407675266,37679,1880,CONVENIENCE STORE,40.679403789,-73.886312122,0
1620,14204,3117000,0.0,12X248,1681.17219646,0.0,833.838585611,9,341,Approaching Target,0.006,0.199,0.765,0.012,0.436950147152,0.838709652424,37679,1880,GROCERY SUPERMARKET,40.676048217,-73.885534711,0
1621,12699,3117201,3.0,84K710,564.357518036,0.0,1317.96775584,1,135,,0.015,0.704,0.148,0.007,0.481092423201,0.777310907841,44266,2713,GROCERY SUPERMARKET,40.679746456,-73.885400674,1
1622,10059,3117202,0.0,14K071,2015.19107414,0.0,245.860938556,1,387,Approaching Target,0.036,0.129,0.814,0.005,0.461414784193,1.0,38281,3907,GROCERY SUPERMARKET,40.683057737,-73.883284065,0
1623,14172,3119400,0.0,13K412,848.163540334,1.0,636.064654347,8,379,Approaching Target,0.003,0.789,0.182,0.011,0.5751978755,0.799472272396,22455,3914,GROCERY SUPERMARKET,40.67063781,-73.875954024,0
1624,14817,3119400,0.0,31R450,1194.26095125,1.0,17221.1253799,8,2500,Approaching Target,0.166,0.374,0.369,0.066,0.527999997139,0.724399983883,22455,3914,GROCERY SUPERMARKET,40.670749198,-73.875133198,0
1625,16764,3119400,2.0,30Q286,4175.00108075,1.0,1414.5798211,8,316,Exceeding Target,0.203,0.047,0.396,0.354,1.0,0.850267350674,22455,3914,GROCERY SUPERMARKET,40.670781681,-73.874946789,1
1626,10450,3119400,2.0,31R605,11244.6447213,0.0,40568.3748331,8,1279,Exceeding Target,0.511,0.015,0.045,0.425,0.431587189436,0.363565295935,22455,3914,GROCERY SUPERMARKET,40.673063285,-73.878757132,1
1627,16569,3119400,1.0,17K751,858.031132842,0.0,975.924516753,8,362,Approaching Target,0.014,0.829,0.099,0.025,0.698895037174,0.78453040123,22455,3914,GROCERY SUPERMARKET,40.674453767,-73.878207,1
1628,18395,3119400,0.0,84K473,2112.91410547,0.0,551.273097462,8,972,Meeting Target,0.014,0.301,0.674,0.002,0.557613193989,0.759259283543,22455,3914,CONVENIENCE STORE,40.674453767,-73.878207,0
